ID,Nom Point,X(m),Y(m),Date Visite,Sytème Projection,Zone Projection,Fichier Image
1,DR AMCHABBAK,   348 324.90 ,   157 953.27 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,DR AMCHABBAK.jpg
2,DR BOUTOUHALT,   354 173.79 ,   154 692.69 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,DR BOUTOUHALT.jpg
3,FOUM JEMAA,   349 467.50 ,   152 694.47 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,FOUM JEMAA.jpg
4,KOUDIAT SIDI BAZA,   345 709.47 ,   151 366.63 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,KOUDIAT SIDI BAZA.jpg
5,MEKOUSSA,   346 233.10 ,   156 600.58 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,MEKOUSSA.jpg
6,TAQYYOUT,   354 792.03 ,   150 573.34 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,TAQYYOUT.jpg
7,TOUMLILINE,   353 867.89 ,   153 198.93 ,07/04/2023,Conique Conforme Lambert,Lambert Zone I,TOUMLILINE.jpg
